timestamp,tweet_text,username,all_hashtags,followers_count
2021-10-23 16:21:09+00:00,"b'@hcetamd @CathyYoung63 All I gonna say is this scenario -- where a guy in dress rapes a girl at school (orally, vaginally, and anally) *followed by a school board cover up* is too ""perfect"" to likely be true. It\'s a right wing identity politics wet dream.  A righty ""A Rape on Campus"" by Rolling Stone'",b'districtyoder',[],541
2021-10-23 16:21:08+00:00,"b'@brxckhxmptn I should maintain journalistic neutrality. - L. Krementz, Politics/Poetry'",b'french_dispatch',[],23258
2021-10-23 16:21:06+00:00,b'#JoeBiden #WhiteHouse #USA #climate #vaccination #Covidioten #BreakingNews #BREAKING #Politics   35a_Aims of the Papacy\xc2\xa0 Liberty of Conscience Threatened Great Controversy (1911) Ellen G. White https://t.co/rGtQC7RmC6 35b https://t.co/SGknEe4qQH https://t.co/A1FcVsSE0l https://t.co/gynS9dFKEO',b'TimeIsFinishing',"['JoeBiden', 'WhiteHouse', 'USA', 'climate', 'vaccination', 'Covidioten', 'BreakingNews', 'BREAKING', 'Politics']",2211
2021-10-23 16:21:05+00:00,b'@the_ns @MargaretAtwood Can you provide an example of a marginalised group of people that was granted civil rights without decades of hard campaigning and debate?  TRAs are bizarrely averse to any discussion of their topic.  In over 40 years of politics i have never come across any tactics like theirs.',b'redtache',[],882
2021-10-23 16:21:05+00:00,b'@bmott001 @Blashford @DavidJonesMP @DavidJonesMP shame on you for failing to protect the environment now and for future generations - politics above people and with your party promoting COP26 too !!',b'stoghill',[],95
2021-10-23 16:21:02+00:00,b'Very interesting book comparing Late Republic of Rome to current American politics. Read the preface free here. https://t.co/8Fd0Pcmndy',b'DemocracyJones7',[],74
2021-10-23 16:21:02+00:00,"b""Progressives are promising to unseat Senator Kyrsten Sinema of Arizona in 2024. It won't be easy, @elainejgodfrey warns: https://t.co/feiidPo7D3  Both Party have One of the Kind. The GOP have Majorie Taylor Green, the Democrats have Krysten Sinema... Viciousness have No gender...""",b'CarlosR357',[],73
2021-10-23 16:21:01+00:00,"b'@iamtix95 @davidslim53 Nothing, just an accidental encounter... In politics ,everything is planned ?'",b'asir_aurora',[],4
2021-10-23 16:21:01+00:00,"b""If you have ever designed or sent a communication that says it's a poll but is a fundraising request, you own some personal responsibility for the decline of US politics.""",b'grahamcummins',[],65
2021-10-23 16:21:00+00:00,"b'In the Nigerian situation, one thing I\'ll blame is the youths\' ""I don\'t care"" attitude toward politics. In addition, they lack political intelligence.'",b'Karigwe',[],24074
2021-10-23 16:20:56+00:00,b'Do NOT ask the quirky girl about her politics she will recite the modern status quo in the anglosphere word by word',b'_zarduszardo',[],149
2021-10-23 16:20:56+00:00,"b'@erinotoole O\xe2\x80\x99toole, Kenney &amp; Ford, the Three Stooges of Canadian politics.'",b'ellebeeZzz',[],87
2021-10-23 16:20:56+00:00,b'Owning mistakes: A missing quality among modern national leaders | RealClearPolitics #writingcommunity #politics #nonpartisan #socent  https://t.co/XMBNaQhVW8',b'GWashingtonInde',"['writingcommunity', 'politics', 'nonpartisan', 'socent']",7786
2021-10-23 16:20:55+00:00,"b""Ha ha. Modern progressive politics is not morally or intellectually coherent. Remember. Homosexuality isn't a choice but your sex is. Right. https://t.co/9SLVyVZi80""",b'jfwduffield',[],4137
